Optimized EHL Solver Init
Step 55/329 | Load err=2.2940e-07 | Res=2.5013e-08 | Iters=7 | Step time=0.223s | Total time=5.0s
Step 56/329 | Load err=2.8427e-07 | Res=3.1172e-08 | Iters=4 | Step time=0.126s | Total time=5.1s
Step 57/329 | Load err=6.1875e-07 | Res=5.7257e-08 | Iters=4 | Step time=0.126s | Total time=5.3s
Step 58/329 | Load err=9.4984e-07 | Res=8.7360e-08 | Iters=3 | Step time=0.096s | Total time=5.3s
Step 59/329 | Load err=8.4361e-07 | Res=8.1135e-08 | Iters=4 | Step time=0.126s | Total time=5.5s
Step 60/329 | Load err=9.9846e-08 | Res=1.5631e-08 | Iters=8 | Step time=0.253s | Total time=5.7s
Step 61/329 | Load err=4.6438e-07 | Res=4.4212e-08 | Iters=3 | Step time=0.096s | Total time=5.8s
Step 62/329 | Load err=1.6119e-07 | Res=2.0434e-08 | Iters=3 | Step time=0.096s | Total time=5.9s
Step 63/329 | Load err=6.9899e-07 | Res=6.5063e-08 | Iters=3 | Step time=0.096s | Total time=6.0s
Step 64/329 | Load err=3.2878e-07 | Res=3.7324e-08 | Iters=5 | Step time=0.160s | Total time=6.2s
Step 65/329 | Load err=6.0504e-07 | Res=5.8246e-08 | Iters=9 | Step time=0.286s | Total time=6.5s
Step 66/329 | Load err=2.3350e-07 | Res=2.7012e-08 | Iters=3 | Step time=0.096s | Total time=6.6s
Step 67/329 | Load err=1.1718e-07 | Res=1.5941e-08 | Iters=5 | Step time=0.160s | Total time=6.7s
Step 68/329 | Load err=2.3019e-07 | Res=2.4227e-08 | Iters=4 | Step time=0.128s | Total time=6.8s
Step 69/329 | Load err=7.2831e-07 | Res=7.1083e-08 | Iters=4 | Step time=0.128s | Total time=7.0s
Step 70/329 | Load err=9.4323e-07 | Res=8.7475e-08 | Iters=4 | Step time=0.128s | Total time=7.1s
Step 71/329 | Load err=1.9509e-07 | Res=2.1121e-08 | Iters=4 | Step time=0.128s | Total time=7.2s
Step 72/329 | Load err=9.4465e-07 | Res=8.9144e-08 | Iters=5 | Step time=0.159s | Total time=7.4s
Step 73/329 | Load err=5.2634e-07 | Res=4.9817e-08 | Iters=3 | Step time=0.096s | Total time=7.5s
Step 74/329 | Load err=9.4041e-07 | Res=9.2671e-08 | Iters=2 | Step time=0.063s | Total time=7.5s
Step 75/329 | Load err=2.7830e-07 | Res=5.9488e-08 | Iters=4 | Step time=0.126s | Total time=7.7s
Step 76/329 | Load err=5.0566e-07 | Res=5.2379e-08 | Iters=3 | Step time=0.095s | Total time=7.8s
Step 77/329 | Load err=1.0485e-07 | Res=2.5122e-08 | Iters=4 | Step time=0.126s | Total time=7.9s
Step 78/329 | Load err=3.9841e-07 | Res=4.2157e-08 | Iters=2 | Step time=0.063s | Total time=8.0s
Step 79/329 | Load err=2.3325e-07 | Res=3.8254e-08 | Iters=4 | Step time=0.127s | Total time=8.1s
Step 80/329 | Load err=1.0588e-06 | Res=9.9442e-08 | Iters=2 | Step time=0.063s | Total time=8.2s
Step 81/329 | Load err=4.8408e-07 | Res=4.8304e-08 | Iters=5 | Step time=0.158s | Total time=8.3s
Step 82/329 | Load err=2.8170e-07 | Res=3.2386e-08 | Iters=3 | Step time=0.096s | Total time=8.4s
Step 83/329 | Load err=2.2029e-07 | Res=3.2651e-08 | Iters=5 | Step time=0.159s | Total time=8.6s
Step 84/329 | Load err=8.7402e-07 | Res=9.0460e-08 | Iters=4 | Step time=0.126s | Total time=8.7s
Step 85/329 | Load err=2.0214e-07 | Res=2.8790e-08 | Iters=4 | Step time=0.127s | Total time=8.8s
Step 86/329 | Load err=8.8549e-07 | Res=8.9665e-08 | Iters=2 | Step time=0.063s | Total time=8.9s
Step 87/329 | Load err=8.5874e-07 | Res=7.8749e-08 | Iters=3 | Step time=0.095s | Total time=9.0s
Step 88/329 | Load err=5.4866e-08 | Res=3.4159e-08 | Iters=3 | Step time=0.095s | Total time=9.1s
Step 89/329 | Load err=6.3679e-08 | Res=6.6324e-08 | Iters=2 | Step time=0.063s | Total time=9.1s
Step 90/329 | Load err=9.5246e-07 | Res=8.7312e-08 | Iters=3 | Step time=0.094s | Total time=9.2s
Step 91/329 | Load err=4.3061e-07 | Res=3.9492e-08 | Iters=2 | Step time=0.063s | Total time=9.3s
Step 92/329 | Load err=2.7752e-07 | Res=7.2264e-08 | Iters=2 | Step time=0.063s | Total time=9.4s
Step 93/329 | Load err=6.9393e-07 | Res=7.4243e-08 | Iters=2 | Step time=0.063s | Total time=9.4s
Step 94/329 | Load err=4.9591e-08 | Res=5.5278e-08 | Iters=3 | Step time=0.094s | Total time=9.5s
Step 95/329 | Load err=8.8636e-07 | Res=8.7308e-08 | Iters=2 | Step time=0.063s | Total time=9.6s
Step 96/329 | Load err=4.9401e-08 | Res=8.1660e-08 | Iters=3 | Step time=0.094s | Total time=9.7s
Step 97/329 | Load err=1.1609e-07 | Res=4.3983e-08 | Iters=3 | Step time=0.094s | Total time=9.8s
Step 98/329 | Load err=1.0404e-07 | Res=5.6857e-08 | Iters=3 | Step time=0.094s | Total time=9.9s
Step 99/329 | Load err=8.2764e-08 | Res=2.5765e-08 | Iters=3 | Step time=0.094s | Total time=10.0s
Step 100/329 | Load err=5.2179e-08 | Res=7.5604e-09 | Iters=3 | Step time=0.094s | Total time=10.0s
Step 101/329 | Load err=3.2245e-08 | Res=3.0240e-09 | Iters=3 | Step time=0.094s | Total time=10.1s
Step 102/329 | Load err=8.8923e-09 | Res=8.1516e-10 | Iters=3 | Step time=0.094s | Total time=10.2s
Step 103/329 | Load err=9.4012e-07 | Res=8.6181e-08 | Iters=2 | Step time=0.063s | Total time=10.3s
Step 104/329 | Load err=9.4377e-07 | Res=8.6515e-08 | Iters=2 | Step time=0.063s | Total time=10.4s
Step 105/329 | Load err=8.9381e-07 | Res=8.1947e-08 | Iters=2 | Step time=0.063s | Total time=10.4s
Step 106/329 | Load err=6.6656e-07 | Res=8.4835e-08 | Iters=10 | Step time=0.312s | Total time=10.7s
Step 107/329 | Load err=8.8382e-02 | Res=1.6604e-02 | Iters=0 | Step time=5.382s | Total time=16.1s
Step 108/329 | Load err=4.7966e-08 | Res=9.3758e-09 | Iters=10 | Step time=0.342s | Total time=16.5s
Step 109/329 | Load err=2.5845e-07 | Res=2.6671e-08 | Iters=4 | Step time=0.125s | Total time=16.6s
Step 110/329 | Load err=3.0113e-08 | Res=2.1708e-08 | Iters=4 | Step time=0.125s | Total time=16.7s
Step 111/329 | Load err=2.6659e-08 | Res=5.6040e-08 | Iters=3 | Step time=0.093s | Total time=16.8s
Step 112/329 | Load err=1.4502e-07 | Res=1.9010e-08 | Iters=8 | Step time=0.248s | Total time=17.0s
Step 113/329 | Load err=1.9023e-07 | Res=2.3561e-08 | Iters=4 | Step time=0.123s | Total time=17.2s
Step 114/329 | Load err=1.4726e-05 | Res=2.8932e-06 | Iters=20 | Step time=5.861s | Total time=23.0s
Step 115/329 | Load err=1.7448e-07 | Res=6.5679e-07 | Iters=13 | Step time=7.752s | Total time=30.8s
Step 116/329 | Load err=3.5773e-08 | Res=6.2852e-08 | Iters=15 | Step time=1.093s | Total time=31.9s
Step 117/329 | Load err=3.9621e-09 | Res=1.1087e-08 | Iters=5 | Step time=0.156s | Total time=32.0s
Step 118/329 | Load err=1.1916e-08 | Res=1.4946e-08 | Iters=4 | Step time=0.125s | Total time=32.2s
Step 119/329 | Load err=4.3197e-08 | Res=4.9669e-09 | Iters=5 | Step time=0.156s | Total time=32.3s
Step 120/329 | Load err=1.9790e-06 | Res=8.9806e-07 | Iters=19 | Step time=7.453s | Total time=39.8s
Step 121/329 | Load err=1.6787e-08 | Res=6.3581e-08 | Iters=8 | Step time=0.250s | Total time=40.0s
Step 122/329 | Load err=1.4629e-10 | Res=5.5589e-08 | Iters=19 | Step time=0.786s | Total time=40.8s
Step 123/329 | Load err=1.5096e-09 | Res=6.6097e-09 | Iters=6 | Step time=0.188s | Total time=41.0s
Step 124/329 | Load err=9.3571e-09 | Res=1.1534e-09 | Iters=3 | Step time=0.095s | Total time=41.1s
Step 125/329 | Load err=4.1917e-09 | Res=4.6108e-09 | Iters=0 | Step time=0.157s | Total time=41.2s
Step 126/329 | Load err=8.6671e-07 | Res=7.9451e-08 | Iters=5 | Step time=0.156s | Total time=41.4s
Step 127/329 | Load err=4.5137e-07 | Res=4.1378e-08 | Iters=9 | Step time=3.071s | Total time=44.5s
Step 128/329 | Load err=7.8020e-07 | Res=7.1526e-08 | Iters=20 | Step time=2.194s | Total time=46.7s
Step 129/329 | Load err=2.1185e-07 | Res=1.9423e-08 | Iters=0 | Step time=3.244s | Total time=49.9s
Step 130/329 | Load err=3.2599e-07 | Res=2.9884e-08 | Iters=13 | Step time=0.405s | Total time=50.3s
Step 131/329 | Load err=2.6270e-08 | Res=6.7466e-08 | Iters=2 | Step time=1.622s | Total time=51.9s
Step 132/329 | Load err=4.8362e-07 | Res=9.3090e-08 | Iters=12 | Step time=0.376s | Total time=52.3s
Step 133/329 | Load err=3.1136e-07 | Res=2.8545e-08 | Iters=10 | Step time=0.314s | Total time=52.6s
Step 134/329 | Load err=5.6790e-07 | Res=5.2060e-08 | Iters=8 | Step time=0.251s | Total time=52.9s
Step 135/329 | Load err=8.0602e-05 | Res=7.3887e-06 | Iters=20 | Step time=8.456s | Total time=61.3s
Step 136/329 | Load err=4.8599e-09 | Res=8.9053e-08 | Iters=4 | Step time=0.123s | Total time=61.5s
Step 137/329 | Load err=2.2604e-08 | Res=2.5958e-08 | Iters=3 | Step time=0.093s | Total time=61.5s
