# theta_deg base_template rpm_300 rpm_500 rpm_700 rpm_900
-7.3735744090e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.3507649510e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.3279554940e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.3051460360e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.2823365790e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.2595271210e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.2367176630e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.2139082060e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.1910987480e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.1682892910e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.1454798330e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.1226703760e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.0998609180e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.0770514600e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.0542420030e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.0314325450e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-7.0086230880e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.9858136300e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.9630041720e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.9401947150e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.9173852570e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.8945758000e+01 1.0108044940e-07 1.6840222674e-07 4.0808728534e-07 4.8663953143e-07 4.0674451190e-07
-6.8717663420e+01 1.8819358740e-07 2.5551536474e-07 4.9520042334e-07 5.7375266943e-07 4.9385764990e-07
-6.8489568850e+01 4.9423107700e-08 1.1674488504e-07 3.5642994364e-07 4.3498218973e-07 3.5508717020e-07
-6.8261474270e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.8033379690e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.7805285120e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.7577190540e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.7349095970e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.7121001390e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.6892906820e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.6664812240e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.6436717660e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.6208623090e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.5980528510e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
