Optimized EHL Solver Init
Step 55/329 | Load err=9.5996e-07 | Res=9.5996e-07 | Iters=12 | Step time=0.400s | Total time=13.7s
Step 56/329 | Load err=2.4777e-06 | Res=2.4833e-06 | Iters=12 | Step time=0.400s | Total time=14.1s
Step 57/329 | Load err=7.4093e-09 | Res=7.4319e-09 | Iters=2 | Step time=0.066s | Total time=14.2s
Step 58/329 | Load err=6.7555e-06 | Res=6.7555e-06 | Iters=12 | Step time=0.400s | Total time=14.6s
Step 59/329 | Load err=3.6278e-08 | Res=3.6278e-08 | Iters=4 | Step time=0.132s | Total time=14.7s
Step 60/329 | Load err=1.8442e-06 | Res=1.8453e-06 | Iters=12 | Step time=0.402s | Total time=15.1s
Step 61/329 | Load err=2.3726e-07 | Res=2.6563e-07 | Iters=12 | Step time=0.400s | Total time=15.5s
Step 62/329 | Load err=2.0357e-07 | Res=2.1576e-07 | Iters=12 | Step time=0.402s | Total time=15.9s
Step 63/329 | Load err=1.6176e-06 | Res=1.6246e-06 | Iters=12 | Step time=0.403s | Total time=16.3s
Step 64/329 | Load err=5.6130e-06 | Res=5.6131e-06 | Iters=12 | Step time=0.405s | Total time=16.7s
Step 65/329 | Load err=3.5119e-08 | Res=7.2021e-08 | Iters=5 | Step time=0.168s | Total time=16.9s
Step 66/329 | Load err=6.4978e-08 | Res=7.4467e-08 | Iters=9 | Step time=0.302s | Total time=17.2s
Step 67/329 | Load err=6.9334e-07 | Res=6.9872e-07 | Iters=12 | Step time=0.405s | Total time=17.6s
Step 68/329 | Load err=2.8405e-06 | Res=2.8422e-06 | Iters=12 | Step time=0.409s | Total time=18.0s
Step 69/329 | Load err=5.8165e-07 | Res=5.8242e-07 | Iters=12 | Step time=0.406s | Total time=18.4s
Step 70/329 | Load err=2.9341e-06 | Res=2.9381e-06 | Iters=12 | Step time=0.407s | Total time=18.8s
Step 71/329 | Load err=4.5559e-06 | Res=4.5567e-06 | Iters=12 | Step time=0.410s | Total time=19.2s
Step 72/329 | Load err=5.5282e-06 | Res=5.5330e-06 | Iters=12 | Step time=0.403s | Total time=19.6s
Step 73/329 | Load err=4.9136e-07 | Res=4.9191e-07 | Iters=12 | Step time=0.404s | Total time=20.0s
Step 74/329 | Load err=2.1149e-06 | Res=2.1205e-06 | Iters=12 | Step time=0.401s | Total time=20.4s
Step 75/329 | Load err=2.4942e-08 | Res=2.5077e-08 | Iters=2 | Step time=0.066s | Total time=20.5s
Step 76/329 | Load err=3.5528e-06 | Res=3.5664e-06 | Iters=12 | Step time=0.400s | Total time=20.9s
Step 77/329 | Load err=3.6122e-08 | Res=3.6140e-08 | Iters=2 | Step time=0.066s | Total time=21.0s
Step 78/329 | Load err=2.8725e-06 | Res=2.8861e-06 | Iters=12 | Step time=0.401s | Total time=21.4s
Step 79/329 | Load err=2.4290e-08 | Res=2.9743e-08 | Iters=2 | Step time=0.066s | Total time=21.4s
Step 80/329 | Load err=1.3369e-06 | Res=1.3577e-06 | Iters=12 | Step time=0.397s | Total time=21.8s
Step 81/329 | Load err=4.9510e-08 | Res=7.3679e-08 | Iters=5 | Step time=0.166s | Total time=22.0s
Step 82/329 | Load err=1.6777e-06 | Res=1.6912e-06 | Iters=12 | Step time=0.401s | Total time=22.4s
