Optimized EHL Solver Init
Step 1/329 | Load err=1.0138e-06 | Res=9.2939e-08 | Iters=9 | Step time=0.285s | Total time=0.3s
Step 61/329 | Load err=4.6438e-07 | Res=4.4212e-08 | Iters=3 | Step time=0.096s | Total time=5.9s
Step 62/329 | Load err=1.6119e-07 | Res=2.0434e-08 | Iters=3 | Step time=0.096s | Total time=6.0s
Step 63/329 | Load err=6.9899e-07 | Res=6.5063e-08 | Iters=3 | Step time=0.095s | Total time=6.0s
Step 64/329 | Load err=3.2878e-07 | Res=3.7324e-08 | Iters=5 | Step time=0.159s | Total time=6.2s
Step 65/329 | Load err=6.0504e-07 | Res=5.8246e-08 | Iters=9 | Step time=0.286s | Total time=6.5s
Step 66/329 | Load err=2.3350e-07 | Res=2.7012e-08 | Iters=3 | Step time=0.097s | Total time=6.6s
Step 67/329 | Load err=1.1718e-07 | Res=1.5941e-08 | Iters=5 | Step time=0.161s | Total time=6.8s
Step 68/329 | Load err=2.3019e-07 | Res=2.4227e-08 | Iters=4 | Step time=0.128s | Total time=6.9s
Step 69/329 | Load err=7.2831e-07 | Res=7.1083e-08 | Iters=4 | Step time=0.128s | Total time=7.0s
Step 70/329 | Load err=9.4323e-07 | Res=8.7475e-08 | Iters=4 | Step time=0.128s | Total time=7.1s
Step 71/329 | Load err=1.9509e-07 | Res=2.1121e-08 | Iters=4 | Step time=0.129s | Total time=7.3s
Step 72/329 | Load err=9.4465e-07 | Res=8.9144e-08 | Iters=5 | Step time=0.160s | Total time=7.4s
Step 73/329 | Load err=5.2634e-07 | Res=4.9817e-08 | Iters=3 | Step time=0.096s | Total time=7.5s
Step 74/329 | Load err=9.4041e-07 | Res=9.2671e-08 | Iters=2 | Step time=0.064s | Total time=7.6s
Step 75/329 | Load err=2.7830e-07 | Res=5.9488e-08 | Iters=4 | Step time=0.127s | Total time=7.7s
Step 76/329 | Load err=5.0566e-07 | Res=5.2379e-08 | Iters=3 | Step time=0.095s | Total time=7.8s
Step 77/329 | Load err=1.0485e-07 | Res=2.5122e-08 | Iters=4 | Step time=0.127s | Total time=7.9s
Step 78/329 | Load err=3.9841e-07 | Res=4.2157e-08 | Iters=2 | Step time=0.063s | Total time=8.0s
Step 79/329 | Load err=2.3325e-07 | Res=3.8254e-08 | Iters=4 | Step time=0.127s | Total time=8.1s
Step 80/329 | Load err=1.0588e-06 | Res=9.9442e-08 | Iters=2 | Step time=0.063s | Total time=8.2s
Step 81/329 | Load err=4.8408e-07 | Res=4.8304e-08 | Iters=5 | Step time=0.158s | Total time=8.3s
Step 82/329 | Load err=2.8170e-07 | Res=3.2386e-08 | Iters=3 | Step time=0.096s | Total time=8.4s
Step 83/329 | Load err=2.2029e-07 | Res=3.2651e-08 | Iters=5 | Step time=0.159s | Total time=8.6s
Step 84/329 | Load err=8.7402e-07 | Res=9.0460e-08 | Iters=4 | Step time=0.127s | Total time=8.7s
Step 85/329 | Load err=2.0214e-07 | Res=2.8790e-08 | Iters=4 | Step time=0.127s | Total time=8.9s
Step 86/329 | Load err=8.8549e-07 | Res=8.9665e-08 | Iters=2 | Step time=0.063s | Total time=8.9s
Step 87/329 | Load err=8.5874e-07 | Res=7.8749e-08 | Iters=3 | Step time=0.095s | Total time=9.0s
Step 88/329 | Load err=5.4866e-08 | Res=3.4159e-08 | Iters=3 | Step time=0.095s | Total time=9.1s
Step 89/329 | Load err=6.3679e-08 | Res=6.6324e-08 | Iters=2 | Step time=0.063s | Total time=9.2s
Step 90/329 | Load err=9.5246e-07 | Res=8.7312e-08 | Iters=3 | Step time=0.095s | Total time=9.3s
Step 91/329 | Load err=4.3061e-07 | Res=3.9492e-08 | Iters=2 | Step time=0.063s | Total time=9.3s
Step 92/329 | Load err=2.7752e-07 | Res=7.2264e-08 | Iters=2 | Step time=0.063s | Total time=9.4s
Step 93/329 | Load err=6.9393e-07 | Res=7.4243e-08 | Iters=2 | Step time=0.063s | Total time=9.5s
Step 94/329 | Load err=4.9591e-08 | Res=5.5278e-08 | Iters=3 | Step time=0.094s | Total time=9.6s
Step 95/329 | Load err=8.8636e-07 | Res=8.7308e-08 | Iters=2 | Step time=0.063s | Total time=9.6s
Step 96/329 | Load err=4.9401e-08 | Res=8.1660e-08 | Iters=3 | Step time=0.094s | Total time=9.7s
Step 97/329 | Load err=1.1609e-07 | Res=4.3983e-08 | Iters=3 | Step time=0.095s | Total time=9.8s
Step 98/329 | Load err=1.0404e-07 | Res=5.6857e-08 | Iters=3 | Step time=0.094s | Total time=9.9s
Step 99/329 | Load err=8.2764e-08 | Res=2.5765e-08 | Iters=3 | Step time=0.094s | Total time=10.0s
Step 100/329 | Load err=5.2179e-08 | Res=7.5604e-09 | Iters=3 | Step time=0.094s | Total time=10.1s
Step 101/329 | Load err=3.2245e-08 | Res=3.0240e-09 | Iters=3 | Step time=0.094s | Total time=10.2s
Step 102/329 | Load err=8.8923e-09 | Res=8.1516e-10 | Iters=3 | Step time=0.094s | Total time=10.3s
Step 103/329 | Load err=9.4012e-07 | Res=8.6181e-08 | Iters=2 | Step time=0.063s | Total time=10.3s
Step 104/329 | Load err=9.4377e-07 | Res=8.6515e-08 | Iters=2 | Step time=0.063s | Total time=10.4s
Step 105/329 | Load err=8.9381e-07 | Res=8.1947e-08 | Iters=2 | Step time=0.063s | Total time=10.5s
Step 106/329 | Load err=6.6656e-07 | Res=8.4835e-08 | Iters=10 | Step time=0.313s | Total time=10.8s
Step 107/329 | Load err=2.3429e-02 | Res=2.2323e-01 | Iters=17 | Step time=1.186s | Total time=12.0s
Step 108/329 | Load err=1.2219e-01 | Res=1.8837e-01 | Iters=0 | Step time=0.797s | Total time=12.8s
Step 109/329 | Load err=1.2394e-03 | Res=1.8348e-04 | Iters=22 | Step time=1.381s | Total time=14.1s
Step 110/329 | Load err=2.8195e-08 | Res=9.5622e-08 | Iters=21 | Step time=0.905s | Total time=15.0s
Step 111/329 | Load err=3.7570e-09 | Res=8.2713e-10 | Iters=5 | Step time=0.160s | Total time=15.2s
Step 112/329 | Load err=6.2419e-08 | Res=6.8761e-08 | Iters=3 | Step time=0.095s | Total time=15.3s
Step 113/329 | Load err=7.4035e-08 | Res=6.7884e-09 | Iters=7 | Step time=0.222s | Total time=15.5s
Step 114/329 | Load err=1.5556e-08 | Res=8.3885e-08 | Iters=5 | Step time=0.158s | Total time=15.7s
Step 115/329 | Load err=2.1846e-06 | Res=6.6690e-05 | Iters=22 | Step time=1.109s | Total time=16.8s
Step 116/329 | Load err=5.5961e-07 | Res=8.8230e-08 | Iters=16 | Step time=0.501s | Total time=17.3s
Step 117/329 | Load err=2.7554e-03 | Res=2.0451e+04 | Iters=12 | Step time=0.555s | Total time=17.8s
Step 118/329 | Load err=5.5263e-05 | Res=7.2351e-01 | Iters=22 | Step time=1.836s | Total time=19.7s
Step 119/329 | Load err=4.1766e-07 | Res=3.8287e-08 | Iters=17 | Step time=0.620s | Total time=20.3s
Step 120/329 | Load err=2.8901e-07 | Res=2.6494e-08 | Iters=17 | Step time=1.090s | Total time=21.4s
Step 121/329 | Load err=2.1755e-05 | Res=1.3022e-04 | Iters=18 | Step time=1.643s | Total time=23.0s
Step 122/329 | Load err=2.6351e-08 | Res=8.2023e-08 | Iters=13 | Step time=2.225s | Total time=25.3s
Step 123/329 | Load err=1.2647e-04 | Res=1.1593e-05 | Iters=22 | Step time=1.376s | Total time=26.6s
Step 124/329 | Load err=1.1497e-08 | Res=8.0396e-08 | Iters=8 | Step time=0.256s | Total time=26.9s
Step 125/329 | Load err=6.9833e-09 | Res=1.1075e-08 | Iters=5 | Step time=0.167s | Total time=27.1s
Step 126/329 | Load err=3.4185e-07 | Res=3.1340e-08 | Iters=5 | Step time=2.031s | Total time=29.1s
Step 127/329 | Load err=3.5730e-07 | Res=3.3285e-08 | Iters=18 | Step time=1.133s | Total time=30.2s
Step 128/329 | Load err=8.8244e-07 | Res=8.0895e-08 | Iters=0 | Step time=0.531s | Total time=30.8s
Step 129/329 | Load err=3.2810e-07 | Res=3.0096e-08 | Iters=4 | Step time=1.363s | Total time=32.1s
Step 130/329 | Load err=6.4126e-06 | Res=2.1739e-05 | Iters=18 | Step time=2.360s | Total time=34.5s
Step 131/329 | Load err=1.0115e-06 | Res=9.2727e-08 | Iters=17 | Step time=2.333s | Total time=36.8s
Step 132/329 | Load err=1.1500e-04 | Res=1.0542e-05 | Iters=22 | Step time=2.362s | Total time=39.2s
Step 133/329 | Load err=1.5801e-08 | Res=3.3811e-08 | Iters=0 | Step time=0.156s | Total time=39.3s
Step 134/329 | Load err=5.1362e-08 | Res=5.4651e-08 | Iters=2 | Step time=0.063s | Total time=39.4s
Step 135/329 | Load err=5.0791e-08 | Res=5.7321e-09 | Iters=0 | Step time=0.433s | Total time=39.8s
Step 136/329 | Load err=1.2495e-04 | Res=1.1454e-05 | Iters=18 | Step time=2.363s | Total time=42.2s
Step 137/329 | Load err=6.1020e-08 | Res=7.8032e-08 | Iters=6 | Step time=0.186s | Total time=42.4s
Step 138/329 | Load err=7.7781e-08 | Res=7.1378e-09 | Iters=6 | Step time=0.188s | Total time=42.6s
Step 139/329 | Load err=8.6408e-08 | Res=8.4845e-09 | Iters=5 | Step time=0.154s | Total time=42.7s
Step 140/329 | Load err=2.6589e-05 | Res=2.4377e-06 | Iters=18 | Step time=2.370s | Total time=45.1s
Step 141/329 | Load err=1.7411e-04 | Res=1.5960e-05 | Iters=18 | Step time=2.299s | Total time=47.4s
Step 142/329 | Load err=5.2121e-08 | Res=6.7564e-09 | Iters=5 | Step time=0.154s | Total time=47.5s
Step 143/329 | Load err=1.9730e-07 | Res=4.2872e-08 | Iters=3 | Step time=0.093s | Total time=47.6s
Step 144/329 | Load err=2.4633e-09 | Res=1.9335e-08 | Iters=4 | Step time=0.124s | Total time=47.8s
Step 145/329 | Load err=2.6677e-08 | Res=5.4345e-08 | Iters=2 | Step time=0.065s | Total time=47.8s
Step 146/329 | Load err=1.2245e-09 | Res=7.7555e-08 | Iters=4 | Step time=0.125s | Total time=47.9s
Step 147/329 | Load err=2.5983e-06 | Res=3.0822e-07 | Iters=18 | Step time=1.250s | Total time=49.2s
Step 148/329 | Load err=1.7731e-04 | Res=1.6254e-05 | Iters=22 | Step time=2.370s | Total time=51.6s
Step 149/329 | Load err=1.5269e-07 | Res=5.4725e-08 | Iters=5 | Step time=0.155s | Total time=51.7s
Step 150/329 | Load err=1.2448e-07 | Res=1.1411e-08 | Iters=6 | Step time=0.187s | Total time=51.9s
Step 151/329 | Load err=1.3731e-07 | Res=1.2591e-08 | Iters=5 | Step time=0.157s | Total time=52.1s
Step 152/329 | Load err=2.9172e-07 | Res=2.6742e-08 | Iters=4 | Step time=0.126s | Total time=52.2s
Step 153/329 | Load err=1.6836e-04 | Res=1.5434e-05 | Iters=22 | Step time=2.364s | Total time=54.6s
Step 154/329 | Load err=2.0353e-07 | Res=1.9272e-08 | Iters=4 | Step time=0.124s | Total time=54.7s
Step 155/329 | Load err=4.8215e-07 | Res=5.6060e-08 | Iters=2 | Step time=0.062s | Total time=54.7s
Step 156/329 | Load err=1.1127e-07 | Res=1.7125e-08 | Iters=6 | Step time=0.187s | Total time=54.9s
Step 157/329 | Load err=1.6406e-07 | Res=7.0942e-08 | Iters=4 | Step time=0.124s | Total time=55.1s
Step 158/329 | Load err=1.5267e-05 | Res=2.0253e-06 | Iters=18 | Step time=2.400s | Total time=57.5s
Step 159/329 | Load err=2.9561e-04 | Res=2.7098e-05 | Iters=18 | Step time=2.416s | Total time=59.9s
Step 160/329 | Load err=1.1495e-08 | Res=6.5407e-09 | Iters=6 | Step time=0.186s | Total time=60.1s
Step 161/329 | Load err=1.0252e-06 | Res=9.5896e-08 | Iters=3 | Step time=0.094s | Total time=60.1s
Step 162/329 | Load err=1.0453e-07 | Res=5.6351e-08 | Iters=3 | Step time=0.093s | Total time=60.2s
Step 163/329 | Load err=1.7126e-07 | Res=4.3195e-08 | Iters=2 | Step time=0.062s | Total time=60.3s
Step 164/329 | Load err=9.5166e-09 | Res=4.8140e-08 | Iters=3 | Step time=0.093s | Total time=60.4s
Step 165/329 | Load err=3.0044e-06 | Res=1.1742e-06 | Iters=18 | Step time=2.375s | Total time=62.8s
Step 166/329 | Load err=1.5275e-04 | Res=1.4002e-05 | Iters=22 | Step time=1.217s | Total time=64.0s
Step 167/329 | Load err=2.4203e-07 | Res=2.2187e-08 | Iters=5 | Step time=0.156s | Total time=64.1s
Step 168/329 | Load err=6.5883e-08 | Res=8.4673e-08 | Iters=4 | Step time=0.125s | Total time=64.3s
Step 169/329 | Load err=6.3202e-07 | Res=5.7938e-08 | Iters=3 | Step time=0.095s | Total time=64.4s
Step 170/329 | Load err=2.6608e-04 | Res=2.4392e-05 | Iters=18 | Step time=2.404s | Total time=66.8s
Step 171/329 | Load err=1.9642e-09 | Res=4.7458e-08 | Iters=6 | Step time=0.186s | Total time=67.0s
Step 172/329 | Load err=1.1630e-08 | Res=7.5147e-08 | Iters=4 | Step time=0.124s | Total time=67.1s
Step 173/329 | Load err=6.1562e-09 | Res=6.7152e-08 | Iters=3 | Step time=0.093s | Total time=67.2s
Step 174/329 | Load err=7.6868e-09 | Res=2.3225e-08 | Iters=3 | Step time=0.093s | Total time=67.3s
Step 175/329 | Load err=1.4647e-08 | Res=1.2927e-08 | Iters=4 | Step time=0.125s | Total time=67.4s
Step 176/329 | Load err=1.5571e-04 | Res=1.4274e-05 | Iters=22 | Step time=2.388s | Total time=69.8s
Step 177/329 | Load err=5.4733e-08 | Res=1.5095e-08 | Iters=8 | Step time=0.251s | Total time=70.0s
Step 178/329 | Load err=1.8051e-07 | Res=2.7270e-08 | Iters=2 | Step time=0.063s | Total time=70.1s
Step 179/329 | Load err=9.6958e-09 | Res=8.9829e-10 | Iters=10 | Step time=0.316s | Total time=70.4s
Step 180/329 | Load err=1.2933e-07 | Res=1.1874e-08 | Iters=4 | Step time=1.406s | Total time=71.8s
Step 181/329 | Load err=3.9831e-07 | Res=3.6513e-08 | Iters=11 | Step time=2.193s | Total time=74.0s
Step 182/329 | Load err=1.7636e-04 | Res=1.6167e-05 | Iters=18 | Step time=2.046s | Total time=76.1s
Step 183/329 | Load err=1.8728e-07 | Res=3.1987e-08 | Iters=5 | Step time=0.155s | Total time=76.2s
Step 184/329 | Load err=6.8602e-07 | Res=6.9402e-08 | Iters=3 | Step time=0.093s | Total time=76.3s
Step 185/329 | Load err=2.7743e-08 | Res=9.5111e-08 | Iters=4 | Step time=0.125s | Total time=76.4s
Step 186/329 | Load err=2.9920e-08 | Res=7.9728e-08 | Iters=3 | Step time=0.093s | Total time=76.5s
Step 187/329 | Load err=2.3205e-07 | Res=2.2741e-08 | Iters=18 | Step time=0.558s | Total time=77.1s
Step 188/329 | Load err=1.2388e-04 | Res=1.1356e-05 | Iters=22 | Step time=2.369s | Total time=79.4s
Step 189/329 | Load err=1.3296e-08 | Res=1.2793e-09 | Iters=5 | Step time=0.156s | Total time=79.6s
Step 190/329 | Load err=9.5729e-09 | Res=3.4907e-08 | Iters=7 | Step time=0.218s | Total time=79.8s
Step 191/329 | Load err=4.8090e-09 | Res=4.5294e-10 | Iters=12 | Step time=0.376s | Total time=80.2s
Step 192/329 | Load err=4.5720e-06 | Res=5.0982e-06 | Iters=18 | Step time=2.364s | Total time=82.6s
Step 193/329 | Load err=1.7630e-07 | Res=1.6165e-08 | Iters=12 | Step time=1.620s | Total time=84.2s
Step 194/329 | Load err=1.0538e-04 | Res=9.6606e-06 | Iters=18 | Step time=2.374s | Total time=86.6s
Step 195/329 | Load err=5.1882e-07 | Res=4.8150e-08 | Iters=4 | Step time=0.123s | Total time=86.7s
Step 196/329 | Load err=6.4244e-08 | Res=6.3672e-08 | Iters=5 | Step time=0.155s | Total time=86.8s
Step 197/329 | Load err=8.4678e-09 | Res=1.7025e-08 | Iters=5 | Step time=0.155s | Total time=87.0s
Step 198/329 | Load err=2.0280e-07 | Res=1.8591e-08 | Iters=18 | Step time=0.557s | Total time=87.5s
Step 199/329 | Load err=1.2738e-07 | Res=1.1678e-08 | Iters=9 | Step time=0.282s | Total time=87.8s
Step 200/329 | Load err=1.1331e-04 | Res=1.0387e-05 | Iters=22 | Step time=1.372s | Total time=89.2s
Step 201/329 | Load err=5.4324e-09 | Res=1.0696e-09 | Iters=5 | Step time=0.156s | Total time=89.4s
Step 202/329 | Load err=8.3682e-09 | Res=6.1378e-08 | Iters=13 | Step time=0.407s | Total time=89.8s
Step 203/329 | Load err=4.1288e-08 | Res=3.8179e-09 | Iters=8 | Step time=2.057s | Total time=91.8s
Step 204/329 | Load err=4.3754e-06 | Res=1.7965e-01 | Iters=18 | Step time=2.089s | Total time=93.9s
Step 205/329 | Load err=1.3144e-02 | Res=3.4392e-02 | Iters=12 | Step time=0.555s | Total time=94.5s
Step 206/329 | Load err=1.5221e-02 | Res=3.4168e-02 | Iters=0 | Step time=0.772s | Total time=95.2s
Step 207/329 | Load err=1.3537e-02 | Res=3.4393e-02 | Iters=0 | Step time=0.770s | Total time=96.0s
Step 208/329 | Load err=7.0958e-03 | Res=3.5187e-02 | Iters=0 | Step time=0.649s | Total time=96.7s
Step 209/329 | Load err=5.2266e-03 | Res=3.6687e-02 | Iters=0 | Step time=0.461s | Total time=97.1s
Step 210/329 | Load err=2.4685e-02 | Res=3.9053e-02 | Iters=0 | Step time=0.774s | Total time=97.9s
Step 211/329 | Load err=1.4084e-04 | Res=1.2967e-05 | Iters=22 | Step time=1.582s | Total time=99.5s
Step 212/329 | Load err=7.3071e-08 | Res=6.8872e-09 | Iters=0 | Step time=0.216s | Total time=99.7s
Step 213/329 | Load err=5.3476e-09 | Res=1.5966e-09 | Iters=0 | Step time=0.187s | Total time=99.9s
Step 214/329 | Load err=4.3815e-07 | Res=5.6318e-08 | Iters=0 | Step time=0.500s | Total time=100.4s
Step 215/329 | Load err=1.0792e-06 | Res=9.8932e-08 | Iters=12 | Step time=1.616s | Total time=102.0s
Step 216/329 | Load err=1.5054e-04 | Res=1.3800e-05 | Iters=22 | Step time=2.363s | Total time=104.4s
Step 217/329 | Load err=2.9131e-08 | Res=5.3015e-08 | Iters=0 | Step time=0.652s | Total time=105.0s
Step 218/329 | Load err=3.1443e-08 | Res=2.0567e-08 | Iters=0 | Step time=1.085s | Total time=106.1s
Step 219/329 | Load err=2.5109e-07 | Res=2.3409e-08 | Iters=0 | Step time=1.090s | Total time=107.2s
Step 220/329 | Load err=1.4322e-07 | Res=1.3129e-08 | Iters=21 | Step time=0.746s | Total time=107.9s
Step 221/329 | Load err=1.7635e-06 | Res=3.4455e-05 | Iters=22 | Step time=2.303s | Total time=110.2s
Step 222/329 | Load err=7.4443e-07 | Res=6.9370e-08 | Iters=16 | Step time=1.058s | Total time=111.3s
Step 223/329 | Load err=9.5702e-07 | Res=9.6037e-08 | Iters=18 | Step time=1.122s | Total time=112.4s
Step 224/329 | Load err=6.9049e-07 | Res=6.3343e-08 | Iters=19 | Step time=0.810s | Total time=113.2s
Step 225/329 | Load err=1.0420e-07 | Res=4.7422e-08 | Iters=20 | Step time=1.192s | Total time=114.4s
Step 226/329 | Load err=8.4887e-07 | Res=7.9492e-08 | Iters=7 | Step time=2.037s | Total time=116.4s
Step 227/329 | Load err=6.3358e-08 | Res=5.8284e-09 | Iters=20 | Step time=1.197s | Total time=117.6s
Step 228/329 | Load err=8.3614e-07 | Res=7.7814e-08 | Iters=5 | Step time=0.158s | Total time=117.8s
Step 229/329 | Load err=3.9354e-07 | Res=5.9731e-08 | Iters=3 | Step time=0.094s | Total time=117.9s
Step 230/329 | Load err=8.6791e-07 | Res=7.9561e-08 | Iters=2 | Step time=0.064s | Total time=118.0s
Step 231/329 | Load err=7.3645e-07 | Res=7.9156e-08 | Iters=2 | Step time=0.063s | Total time=118.0s
Step 232/329 | Load err=5.2230e-08 | Res=5.0821e-09 | Iters=7 | Step time=0.221s | Total time=118.2s
Step 233/329 | Load err=6.7344e-08 | Res=4.8972e-08 | Iters=3 | Step time=0.095s | Total time=118.3s
Step 234/329 | Load err=2.5099e-07 | Res=2.3009e-08 | Iters=5 | Step time=0.159s | Total time=118.5s
Step 235/329 | Load err=3.0548e-07 | Res=2.8739e-08 | Iters=7 | Step time=0.222s | Total time=118.7s
Step 236/329 | Load err=3.7509e-07 | Res=3.4448e-08 | Iters=6 | Step time=0.192s | Total time=118.9s
Step 237/329 | Load err=1.7739e-08 | Res=6.3515e-09 | Iters=3 | Step time=0.096s | Total time=119.0s
Step 238/329 | Load err=2.6143e-07 | Res=9.4066e-08 | Iters=3 | Step time=0.096s | Total time=119.1s
Step 239/329 | Load err=3.7948e-07 | Res=3.6672e-08 | Iters=5 | Step time=0.159s | Total time=119.3s
